,house_price_rotterdam,rental_agency_rotterdam,postcode_rotterdam,bedrooms_rotterdam,surface_rotterdam
115,1500.0,J.T.M.D. vastgoed beheer B.V.,3071PP,3,91
116,1295.0,Maashave Vastgoedbeheer B.V.,3083HD,4,110
117,1645.0,Dop & Dop Consultancy,3012CD,3,90
118,895.0,BenHousing,3079WC,3,63
119,615.0,BenHousing,3037PR,1,25
120,725.0,Vlogmakelaars,3074WC,2,55
121,1450.0,Danka Consultancy,3081NM,4,140
122,1100.0,ViaDaan,3081BK,2,65
123,2750.0,VERRA Real Estate Rotterdam,3012LA,4,180
124,995.0,Rotsvast Rotterdam,3063AT,2,60
125,2395.0,vdm vastgoed groep,3026GV,4,154
126,1495.0,Tweelwonen.nl Rotterdam,3082PG,4,93
127,1495.0,Tweelwonen.nl Rotterdam,3011LD,3,81
128,1700.0,Wooove B.V.,3012AH,3,120
129,1550.0,Wooove B.V.,3012AH,3,111
130,1305.0,Wooove B.V.,3012AH,3,85
131,1995.0,Rent an Apartment,3035KA,4,110
132,1450.0,Riva Rentals,3011XW,2,78
133,1850.0,Interhouse verhuurmakelaars Rotterdam,3011GC,4,75
134,1399.0,Woonstad Rotterdam,3061ZB,3,94
135,925.0,Rotterdam Apartments,3028TN,3,85
136,1245.0,Rotterdam Apartments,3034CH,2,87
137,895.0,Rotterdam Apartments,3023KV,2,35
138,895.0,Rotterdam Apartments,3023KV,2,35
139,895.0,Rotterdam Apartments,3023KV,2,35
140,1095.0,Rotterdam Apartments,3023KV,3,85
141,685.0,123Wonen Rotterdam,3061AL,1,30
142,550.0,123Wonen Rotterdam,3083XD,2,50
143,1300.0,Gravenstaete Onroerend Goed B.V.,3039JN,4,133
144,1395.0,Portsville,3012LG,2,70
145,1250.0,Vastestate,3083NK,4,53
146,695.0,Vlogmakelaars,3062TW,1,16
147,1500.0,Vlogmakelaars,3021DS,3,80
148,695.0,Vlogmakelaars,3062TW,1,16
149,425.0,Vlogmakelaars,3035AC,1,34
150,1100.0,Gravenstaete Onroerend Goed B.V.,3031AB,3,62
151,1795.0,Homey.rent,3074KE,5,87
152,1350.0,EHR Rotterdam ,3051PS,3,70
153,795.0,BenHousing,3025XS,2,40
154,1095.0,Portsville,3052XR,3,70
155,1650.0,Huurwoning in Rotterdam,3071KM,2,107
156,1495.0,TVN Real Estate,3033AG,4,105
157,975.0,Huurwoning in Rotterdam,3023KP,2,65
158,1100.0,Huurwoning in Rotterdam,3031PV,3,60
159,1100.0,Huurwoning in Rotterdam,3037PD,2,78
160,1250.0,Tweelwonen.nl Rotterdam,3023DG,3,70
161,975.0,Rent an Apartment,3061AH,2,60
162,505.0,Rent an Apartment,3021EE,1,15
163,1550.0,Vandevijver Makelaardij,3021AC,3,104
164,1430.0,TW3 Strategie Marketing Makelaardij B.V.,3072AP,3,94
165,1295.0,123Wonen Rotterdam,3011JA,2,60
166,800.0,123Wonen Rotterdam,3038NR,1,30
167,1395.0,Homecrew,3024EP,3,110
168,1750.0,VERRA Real Estate Rotterdam,3015XC,3,120
169,1825.0,VERRA Real Estate Rotterdam,3012GD,3,85
170,1495.0,Dop & Dop Consultancy,3032EM,3,63
171,1100.0,BenHousing,3077ZD,3,79
172,1500.0,BenHousing,3037RD,4,110
173,1800.0,BenHousing,3062PJ,3,98
174,1077.0,Urban Short Stay,3029AD,1,37
175,1375.0,ViaDaan,3071KN,2,50
176,1575.0,ViaDaan,3071KN,2,65
177,1050.0,Nationaal Grondbezit,3011NE,3,99
178,1900.0,Rotsvast Rotterdam,3027BE,2,120
179,1850.0,VERRA Real Estate Rotterdam,3011HV,3,91
180,1275.0,DuNa vastgoed beheer,3083MA,4,116
181,1300.0,Loftly,3021BR,2,60
182,575.0,Max Suites,3063EL,1,11
183,1500.0,HB&F Rental Services,3011PT,3,85
184,1250.0,Max Property Rentals,3077MK,3,83
185,1395.0,Tweelwonen.nl Rotterdam,3013AL,3,90
186,1375.0,Rent a Stone,3038BD,3,72
187,1495.0,Riva Rentals,3081LB,4,105
188,1095.0,Riva Rentals,3083PN,3,53
189,1050.0,Interhouse verhuurmakelaars Rotterdam,3036PH,2,45
190,1250.0,Hospitality Apartments,3011EM,3,63
191,1300.0,Just Stay,3038VJ,2,50
192,1750.0,Just Stay,3033AK,3,90
193,1500.0,VERRA Real Estate Rotterdam,3011RH,3,82
194,1750.0,VERRA Real Estate Rotterdam,3012VB,3,97
195,1795.0,Maashave Vastgoedbeheer B.V.,3061AH,3,85
196,1300.0,Just Stay,3025XR,2,60
197,1795.0,VERRA Real Estate Rotterdam,3011AB,3,91
198,1175.0,TVN Real Estate,3039AM,2,51
199,1395.0,Wonen Hartje Rotterdam,3063DC,3,67
200,754.0,Rent2You,3073HD,4,70
201,1300.0,Expat Housing Rotterdam ,3054EC,2,60
202,1098.0,Rental Rotterdam,3016AD,2,75
203,1050.0,Rental Rotterdam,3061VT,2,70
204,1105.0,Rental Rotterdam,3061VT,3,78
205,900.0,Rental Rotterdam,3055RC,2,40
206,1495.0,Rent an Apartment,3037ED,4,140
207,1550.0,Rent an Apartment,3033HH,4,102
208,4495.0,Riva Rentals,3054KZ,5,213
209,895.0,At Home Vastgoed Beheer BV,3031SM,2,55
210,760.0,Max Property Rentals,3083VH,2,59
211,885.0,Max Property Rentals,3032HB,2,50
212,1250.0,Riva Rentals,3023BE,2,55
213,1600.0,Interhouse verhuurmakelaars Rotterdam,3012GD,3,80
214,1350.0,VERRA Real Estate Rotterdam,3031SB,3,50
215,1590.0,Expat Housing Rotterdam ,3038XJ,4,70
216,650.0,BenHousing,3061AB,1,25
217,1200.0,HouseHunting Rotterdam,3051XB,2,70
218,2250.0,NumberXII Exclusive Real Estate,3011GX,3,113
219,1450.0,VERRA Real Estate Rotterdam,3071AA,3,97
220,1350.0,Wonen Hartje Rotterdam,3083DB,3,60
221,1300.0,Wonen Hartje Rotterdam,3025NH,3,45
222,2250.0,Rental Rotterdam,3055KK,5,107
223,1695.0,Rent a Stone,3027HH,4,111
224,995.0,Riva Rentals,3083WS,3,55
225,1895.0,Riva Rentals,3012CC,3,101
226,2000.0,Riva Rentals,3011BT,3,118
227,1595.0,Riva Rentals,3011XM,3,60
228,1495.0,Rotterdam Apartments,3071LH,2,50
229,825.0,123Wonen Rotterdam,3073HH,3,75
230,2000.0,BenHousing,3022NR,4,100
231,1125.0,HouseHunting Rotterdam,3035RJ,3,55
232,735.0,HomeRent,3073GG,2,61
233,925.0,Nationaal Grondbezit,3055HP,3,85
234,2930.0,In de Stad,3011XM,3,120
235,650.0,Dupont ERA Makelaars,3034PW,7,150
236,1300.0,Ooms Makelaars Woningen,3011GW,3,105
237,945.0,Ooms Makelaars Woningen,3065SC,2,58
238,748.0,Nationaal Grondbezit,3079KL,4,72
239,1275.0,In de Stad,3083PX,4,62
240,1050.0,Rental Rotterdam,3011RB,2,50
241,1097.0,Rental Rotterdam,3038LE,3,65
242,1345.0,Rent an Apartment,3014HA,3,78
243,1400.0,Rent an Apartment,3014HA,3,70
244,1545.0,Rent an Apartment,3034EA,4,68
245,975.0,Rent an Apartment,3024TT,2,50
246,2490.0,Ooms Makelaars Woningen,3071KD,4,194
247,1400.0,Kolpa Makelaars B.V.,3071AD,3,95
248,595.0,Rotterdam Apartments,3021XW,1,35
249,475.0,Rotterdam Apartments,3074KE,1,20
250,475.0,Rotterdam Apartments,3074KE,1,20
251,475.0,Rotterdam Apartments,3074KE,1,20
252,475.0,Rotterdam Apartments,3074KE,1,20
253,1849.0,Victoria Lofts B.V.,3015BE,3,105
254,1075.0,Fransen Vastgoed,3064AH,2,40
255,1250.0,Rental Rotterdam,3062GP,2,60
256,1495.0,Riva Rentals,3039PK,3,95
257,1495.0,Riva Rentals,3039NG,4,80
258,1050.0,Riva Rentals,3086TG,4,65
259,1800.0,Stad en Land Makelaars,3063HB,4,88
