,house_price_rotterdam,rental_agency_rotterdam,postcode_rotterdam,bedrooms_rotterdam,surface_rotterdam
511,1150.0,BenHousing,3011AX,4,70
512,1600.0,Vastgoed Unie Makelaardij ,3021XG,3,89
513,1495.0,Riva Rentals,3063AN,3,65
514,750.0,Max Suites,3081CM,1,27
515,1050.0,Dop & Dop Consultancy,3067ZT,2,50
516,1150.0,BenHousing,3083SE,4,90
517,1395.0,DW Housing,3021GJ,3,65
518,475.0,BenHousing,3033EL,1,10
519,1075.0,Rotsvast Rotterdam,3061DH,2,60
520,1250.0,Interhouse verhuurmakelaars Rotterdam,3011HE,2,61
521,1150.0,Rotterdam Apartments,3061TA,2,55
522,1400.0,Stad en Land Makelaars,3072AP,2,60
523,1495.0,Kolpa Makelaars B.V.,3037PD,4,97
524,1750.0,Kolpa Makelaars B.V.,3071KN,4,158
525,2495.0,Rotterdam Apartments,3011PA,4,113
526,2650.0,ViaDaan,3037BJ,5,160
527,1950.0,VERRA Real Estate Rotterdam,3012GH,3,85
528,1195.0,Fransen Vastgoed,3016BE,2,51
529,925.0,Max Property Rentals,3085HJ,3,70
530,695.0,The Rental Shop,3022RE,1,14
531,1195.0,Riva Rentals,3016BE,2,50
532,1575.0,Riva Rentals,3081CE,6,101
533,2250.0,Riva Rentals,3011BT,4,120
534,1725.0,Riva Rentals,3067NA,4,85
535,1350.0,Rotterdam Apartments,3083LX,3,82
536,1850.0,Rotterdam Apartments,3011DL,3,98
537,1795.0,Rotterdam Apartments,3013CC,3,79
538,1095.0,Rotterdam Apartments,3067MD,2,55
539,1800.0,Dop & Dop Consultancy,3054NC,4,120
540,2600.0,VERRA Real Estate Rotterdam,3011XW,4,106
541,1250.0,TVN Real Estate,3067ZD,3,74
542,1750.0,Max Property Rentals,3072LM,3,86
543,590.0,The Rental Shop,3083DK,1,30
544,600.0,The Rental Shop,3053GB,1,30
545,1250.0,EHR Rotterdam ,3076BV,4,71
546,1250.0,EHR Rotterdam ,3076BV,4,71
547,1750.0,Just Stay,3028XD,4,69
548,1495.0,Lutz Real Estate,3023CB,2,78
549,1550.0,Riva Rentals,3012AL,3,85
550,1050.0,Interhouse verhuurmakelaars Rotterdam,3085EA,3,66
551,1500.0,VERRA Real Estate Rotterdam,3031BB,3,80
552,1250.0,Dop & Dop Consultancy,3063AP,2,70
553,1795.0,Tweelwonen.nl Rotterdam,3082XA,5,95
554,1250.0,"Bakker en Steffen, NVM Makelaars & Taxateurs BV ",3032EM,3,65
555,1050.0,Riva Rentals,3081BM,2,62
556,1250.0,Riva Rentals,3086TL,4,82
557,1200.0,Riva Rentals,3028VB,4,65
558,1325.0,VERRA Real Estate Rotterdam,3032GA,3,68
559,999.0,Woonstad Rotterdam,3061CM,4,89
560,2450.0,EHR Rotterdam ,3039TN,4,104
561,2950.0,Hulstkamp Makelaars,3065NG,6,209
562,1750.0,BenHousing,3039DZ,3,77
563,975.0,BenHousing,3023RG,3,52
564,895.0,Max Property Rentals,3083CM,3,53
565,1395.0,Perfectrent,3013CE,3,92
566,1850.0,The Rental Shop,3011HV,3,95
567,275.0,Van Der Huizen,3076BD,2,12
568,1495.0,Riva Rentals,3012VE,3,83
569,1450.0,Stad en Land Makelaars,3067DL,4,80
570,610.0,123Wonen Rotterdam,3082NN,2,55
571,1650.0,VHPN,3061ZB,3,90
572,900.0,DW Housing,3022AC,2,25
573,750.0,DW Housing,3022AC,1,20
574,850.0,DW Housing,3022AC,2,30
575,900.0,DW Housing,3026AG,2,30
576,4950.0,IRIS Housing Rotterdam,3054CM,5,280
577,915.0,DW Housing,3021JA,1,30
578,1253.0,Niya Vastgoed Beheer BV,3067LN,4,90
579,1550.0,Riva Rentals,3024EA,2,74
580,1350.0,Riva Rentals,3011RK,3,65
581,1900.0,Ooms Makelaars Woningen,3012CC,3,82
582,1350.0,4-Freedom | Vastgoedbeheer,3073GW,5,100
583,1253.0,Niya Vastgoed Beheer BV,3067LN,4,90
584,2475.0,PM Housing,3011HC,3,105
585,2100.0,PM Housing,3011HC,3,75
586,2200.0,PM Housing,3011HC,3,75
587,1500.0,Riva Rentals,3021NR,3,80
588,3200.0,The Rental Shop,3055SM,6,170
589,1095.0,At Home Vastgoed Beheer BV,3051LE,3,70
590,495.0,Interhouse verhuurmakelaars Rotterdam,3083EJ,1,20
591,1500.0,Ooms Makelaars Woningen,3012CC,3,80
592,1295.0,Rotterdam Apartments,3077ML,3,68
593,1295.0,Stad en Land Makelaars,3038EA,2,65
594,1750.0,Dop & Dop Consultancy,3065BB,5,120
595,,Fransen Vastgoed,3032GA,5,123
596,1450.0,Riva Rentals,3076LT,4,95
597,1595.0,Riva Rentals,3061VJ,3,125
598,795.0,Rotterdam Apartments,3081RN,1,20
599,1795.0,Rotterdam Apartments,3012GH,4,74
600,700.0,Rotterdam Apartments,3061AS,1,25
601,1495.0,Kolpa Makelaars B.V.,3032BM,4,90
602,1250.0,Vastestate,3067JE,4,84
603,1595.0,VERRA Real Estate Rotterdam,3011XZ,3,78
604,900.0,Danka Consultancy,3036HB,2,35
605,1100.0,Riva Rentals,3083BW,2,69
606,750.0,Rotterdam Rent,3022DM,1,30
607,2000.0,Rotterdam Apartments,3071AD,4,140
608,2600.0,BenHousing,3039NR,5,111
609,1200.0,BenHousing,3073BZ,3,66
610,2400.0,BenHousing,3039CP,5,91
611,2200.0,Loftly,3011ZB,4,110
612,1195.0,Portsville,3022ZE,2,70
613,1250.0,Vastestate,3083NK,4,53
614,1550.0,VHPN,3014EK,3,85
615,1400.0,HB&F Rental Services,3011BT,3,110
616,1300.0,Riva Rentals,3082JR,4,105
617,1749.0,Woonstad Rotterdam,3062KJ,3,104
618,3600.0,Stad en Land Makelaars,3055WT,4,165
619,935.0,Tweelwonen.nl Rotterdam,3021JA,2,40
620,475.0,Rotterdam Apartments,3074KE,1,20
621,1250.0,Portsville,3014GK,3,71
622,1475.0,VERRA Real Estate Rotterdam,3031RH,3,58
623,1675.0,VERRA Real Estate Rotterdam,3032EM,3,120
624,1200.0,Verhuurmakelaar Hsiang,3083GN,3,67
625,1400.0,TW3 Strategie Marketing Makelaardij B.V.,3085HV,3,135
626,1350.0,StartHousing,3064AV,4,100
627,1495.0,van der Valk Vastgoed,3011GM,2,80
628,875.0,Rotsvast Rotterdam,3063AP,1,18
629,2750.0,Riva Rentals,3062GN,4,125
630,2250.0,Jeco Rental Services,3011XW,3,104
631,425.0,Rental Rotterdam,3028AK,1,20
632,425.0,Rental Rotterdam,3028AK,1,20
633,1250.0,Rotterdam Apartments,3071PE,2,72
634,475.0,BenHousing,3033EL,1,10
635,1800.0,Just Stay,3011VH,2,70
636,1200.0,Ideaal Housing & Makelaars,3063EL,3,70
637,1060.0,Niya Vastgoed Beheer BV,3068JG,3,87
638,2350.0,BenHousing,3013AL,3,118
639,1241.0,Niya Vastgoed Beheer BV,3068JG,5,114
640,1995.0,At Home Vastgoed Beheer BV,3033BB,4,100
641,2150.0,Riva Rentals,3011BT,4,117
642,2750.0,EHR Rotterdam ,3062JM,5,190
643,975.0,BenHousing,3023RG,3,52
644,1990.0,NTH Apartments,3012CC,2,70
645,650.0,Rotterdam Apartments,3023PV,1,15
646,1800.0,Stad en Land Makelaars,3011WD,2,62
647,2250.0,Portsville,3061ZR,2,95
648,799.0,QUARTERS Properties,3016CC,1,19
649,870.0,Dop & Dop Consultancy,3022AC,2,50
650,1425.0,Dop & Dop Consultancy,3016BE,3,76
651,1350.0,Lutz Real Estate,3081GN,3,65
652,1795.0,Riva Rentals,3083RD,5,98
653,1650.0,All In Rentals,3015BB,3,75
654,1149.0,Housing Solutions,3083GD,3,70
655,1375.0,VERRA Real Estate Rotterdam,3032BP,2,68
656,1995.0,Linda Housing,3063DC,3,110
657,295.0,Max Property Rentals,3073HH,1,20
658,1200.0,Riva Rentals,3083VN,4,55
659,1750.0,Riva Rentals,3011PL,3,100
660,1595.0,Interhouse verhuurmakelaars Rotterdam,3011XZ,3,78
661,1695.0,VERRA Real Estate Rotterdam,3011HV,3,95
662,1075.0,HouseHunting Rotterdam,3073ZT,2,65
663,780.0,Rotsvast Rotterdam,3063AP,2,18
664,1250.0,Riva Rentals,3015BH,2,70
665,1400.0,Riva Rentals,3025AK,4,66
666,1300.0,Riva Rentals,3082KL,3,104
667,1450.0,Riva Rentals,3011TG,2,70
668,1650.0,Riva Rentals,3011TG,3,118
669,1395.0,Riva Rentals,3082JA,5,90
670,1490.0,Interhouse verhuurmakelaars Rotterdam,3011TX,2,83
671,1950.0,Baljon Makelaars,3016BC,2,55
672,2350.0,Baljon Makelaars,3016BC,2,67
673,5500.0,Baljon Makelaars,3016AB,3,242
674,2150.0,VERRA Real Estate Rotterdam,3072MM,3,96
675,2650.0,IRIS Housing Rotterdam,3011BT,4,133
676,1495.0,Ally Property,3014HA,3,79
677,975.0,Riva Rentals,3026GL,2,57
678,1250.0,Interhouse verhuurmakelaars Rotterdam,3068JG,4,100
679,1130.0,Interhouse verhuurmakelaars Rotterdam,3067LS,3,90
680,1295.0,Rotterdam Apartments,3015BH,2,40
681,1200.0,Rotterdam Apartments,3061AB,2,55
682,1495.0,Riva Rentals,3011XW,3,75
683,1250.0,Interhouse verhuurmakelaars Rotterdam,3011AR,2,63
684,1199.0,Woonstad Rotterdam,3071KL,3,128
685,2250.0,Dop & Dop Consultancy,3068LE,5,210
686,2300.0,Dop & Dop Consultancy,3011XL,3,70
687,1000.0,BenHousing,3028HL,3,60
688,575.0,Max Suites,3073HG,1,31
689,575.0,Max Suites,3073HG,1,29
690,500.0,Max Suites,3073HG,1,31
691,1450.0,Max Property Rentals,3073HG,4,86
692,1950.0,Riva Rentals,3011BT,4,117
693,1500.0,VHPN,3015BM,3,90
694,1950.0,Kolpa Makelaars B.V.,3062GB,4,145
695,1850.0,Riva Rentals,3011JE,3,80
696,1250.0,Ideaal Housing & Makelaars,3043KP,3,70
697,1400.0,Hospitality Apartments,3011VZ,3,87
698,1650.0,Huisportaal.nl,3014DA,2,40
699,1250.0,Riva Rentals,3051RB,2,50
700,800.0,Rotterdam Rent,3038JE,2,28
701,800.0,Rotterdam Rent,3038JE,2,28
702,1195.0,Rotterdam Apartments,3039DS,3,45
703,1250.0,VERRA Real Estate Rotterdam,3079EG,3,90
704,995.0,Portsville,3028GE,2,55
705,1325.0,De Bloois Vastgoed,3081CP,4,81
706,1500.0,Baljon Makelaars,3063EG,3,85
707,1300.0,Rotterdam Apartments,3016BE,1,52
708,1095.0,Dop & Dop Consultancy,3083SJ,3,90
709,1350.0,Rotterdam Apartments,3063AP,2,81
710,2500.0,Dop & Dop Consultancy,3012CC,3,101
711,1600.0,Stad en Land Makelaars,3011HE,3,90
712,1995.0,Rotterdam Apartments,3062JE,4,140
713,4450.0,VERRA Real Estate Rotterdam,3055KH,6,400
714,2250.0,VERRA Real Estate Rotterdam,3011AB,3,107
715,1250.0,Riva Rentals,3051PC,2,60
716,1125.0,Ooms Makelaars Woningen,3067AM,3,84
717,1800.0,Rotterdam Rent,3033CG,4,60
718,1150.0,Rotterdam Rent,3033CG,2,35
719,1495.0,Riva Rentals,3031ED,3,70
720,1495.0,Interhouse verhuurmakelaars Rotterdam,3071PG,3,80
721,3000.0,Baljon Makelaars,3011WD,4,115
722,490.0,Rotterdam Apartments,3031AX,1,11
723,1249.0,Kolpa Makelaars B.V.,3038BN,2,62
724,1395.0,Dop & Dop Consultancy,3039DT,3,80
725,1650.0,Rental Rotterdam,3026AG,4,120
726,1495.0,Linda Housing,3011EW,3,95
727,1825.0,Rotterdam Apartments,3021CR,3,120
728,2695.0,Casa Rental Services,3063AM,5,155
729,1475.0,Rotterdam Apartments,3024TW,3,85
730,1550.0,Kamen Home Rentals BV,3011XM,3,85
731,795.0,ViaDaan,3083XX,3,46
732,2370.0,Rotsvast Rotterdam,3072MK,3,87
733,1650.0,Ooms Makelaars Woningen,3013CD,3,85
734,800.0,iResidence,3067TZ,2,50
735,995.0,Voorberg Makelaars,3082NE,3,69
736,2200.0,Rotterdam Apartments,3027BE,5,178
737,1400.0,Ideaal Housing & Makelaars,3038NE,2,65
738,1250.0,Tweelwonen.nl Rotterdam,3021JA,2,75
739,1250.0,Rotsvast Rotterdam,3024EZ,2,70
740,1250.0,Riva Rentals,3077MG,3,76
741,1450.0,Rotterdam Apartments,3014DA,1,65
742,750.0,Rotterdam Apartments,3061AR,1,15
743,1850.0,Dop & Dop Consultancy,3077MK,4,125
744,1150.0,Ad Hoc Rotterdam,3022CB,2,80
745,1250.0,De Haas Makelaardij,3062HD,3,85
746,500.0,Van Der Huizen,3032AL,2,20
747,630.0,ViaDaan,3082GC,2,20
748,1000.0,VHPN,3022ME,3,90
749,1295.0,VHPN,3015BE,3,80
750,1050.0,Hospitality Apartments,3015BG,2,45
751,1050.0,BenHousing,3037EG,3,50
752,995.0,Vliegenthart Makelaardij,3021AE,2,65
753,1080.0,Rental Rotterdam,3025AG,2,50
754,1300.0,Riva Rentals,3082TD,4,85
755,1325.0,De Bloois Vastgoed,3081JE,5,109
756,1950.0,Riva Rentals,3015BH,4,110
757,1395.0,Rotterdam Apartments,3032EM,3,62
758,775.0,Dop & Dop Consultancy,3033XJ,2,25
759,1150.0,Vastestate,3081CC,4,95
760,1500.0,Ideaal Housing & Makelaars,3011XW,3,90
761,420.0,Max Property Rentals,3073BG,1,18
762,1190.0,Riva Rentals,3038TV,2,48
763,1295.0,Riva Rentals,3077MK,3,95
764,1395.0,Interhouse verhuurmakelaars Rotterdam,3063DE,3,80
765,800.0,Rotterdam Rent,3022HL,2,25
766,1295.0,Rotterdam Apartments,3039ZK,4,115
767,975.0,123Wonen Rotterdam,3021BD,1,35
768,625.0,BenHousing,3037AD,3,40
769,1600.0,Dop & Dop Consultancy,3011HB,3,97
770,1995.0,Rotterdam Apartments,3061DG,4,125
771,695.0,Dop & Dop Consultancy,3055RE,2,40
772,1395.0,NederWoon verhuurmakelaars Nijmegen,3016BE,2,68
773,850.0,EHR Rotterdam ,3062VK,1,25
774,450.0,Max Property Rentals,3073BB,1,18
775,1995.0,Riva Rentals,3064AH,5,110
776,1050.0,Riva Rentals,3081GS,4,95
777,1464.0,Rotterdam Apartments,3034CH,2,83
778,1914.0,Rotterdam Apartments,3034CH,2,124
779,1573.0,Rotterdam Apartments,3034CH,2,83
780,1447.0,Rotterdam Apartments,3034CH,2,60
781,1481.0,Rotterdam Apartments,3034CH,2,81
782,1641.0,Rotterdam Apartments,3034CH,2,86
783,1470.0,Rotterdam Apartments,3034CH,2,84
784,1278.0,Rotterdam Apartments,3034CH,2,76
785,1478.0,Rotterdam Apartments,3034CH,2,77
786,1400.0,Rotterdam Apartments,3034CH,2,73
787,1418.0,Rotterdam Apartments,3034CH,2,71
788,1507.0,Rotterdam Apartments,3034CH,2,86
789,1493.0,Rotterdam Apartments,3034CH,2,85
790,1548.0,Rotterdam Apartments,3034CH,3,90
791,1495.0,VHPN,3082RL,3,140
792,1175.0,De Bloois Vastgoed,3014CA,3,57
793,950.0,Dop & Dop Consultancy,3026AG,2,35
794,1361.0,Rotterdam Apartments,3034CH,2,57
795,1650.0,Rotterdam Apartments,3021HH,3,154
796,2175.0,Immovita,3016CB,3,83
797,2175.0,VERRA Real Estate Rotterdam,3016CB,3,82
798,1650.0,Interhouse verhuurmakelaars Rotterdam,3071HM,4,128
799,1344.0,Holland2Stay,3029AD,2,64
800,1850.0,Holland2Stay,3029AD,3,105
801,1120.0,Holland2Stay,3029AD,2,60
802,1155.0,Holland2Stay,3029AD,2,65
803,1450.0,Rotsvast Rotterdam,3016DH,3,95
804,1195.0,Rotterdam Apartments,3062TS,2,45
805,1650.0,Ideaal Housing & Makelaars,3021RH,3,85
806,545.0,Max Property Rentals,3081JB,2,25
807,450.0,Max Property Rentals,3081JB,1,21
808,1501.0,Rotterdam Apartments,3034CH,2,78
809,1229.0,Rotterdam Apartments,3034CH,2,47
810,1575.0,Rotterdam Apartments,3034CH,2,85
811,1564.0,Rotterdam Apartments,3034CH,2,77
812,1301.0,Rotterdam Apartments,3034CH,2,47
813,1582.0,Rotterdam Apartments,3034CH,2,83
814,1824.0,Rotterdam Apartments,3034CH,2,98
815,1195.0,HouseHunting Rotterdam,3073ZT,3,82
816,1275.0,HouseHunting Rotterdam,3073ZT,3,94
817,1175.0,HouseHunting Rotterdam,3073ZT,2,84
818,1250.0,HouseHunting Rotterdam,3073ZT,3,79
819,1000.0,HouseHunting Rotterdam,3073ZT,2,62
820,1175.0,HouseHunting Rotterdam,3073ZT,2,78
821,2250.0,Rental Rotterdam,3011XL,3,75
822,1750.0,"Bakker en Steffen, NVM Makelaars & Taxateurs BV ",3021WD,3,67
823,1010.0,Rotterdam Apartments,3061AB,1,34
824,900.0,HouseHunting Rotterdam,3033AG,2,40
825,1295.0,Velthaak en Keijzer Makelaars,3063AA,2,65
826,1845.0,Rotterdam Apartments,3012BE,4,80
827,1195.0,Riva Rentals,3073DZ,3,75
828,1395.0,Portsville,3011ZZ,2,60
829,1781.0,Rotterdam Apartments,3034CH,2,111
830,1450.0,Rotterdam Apartments,3011DD,3,85
831,1487.0,Rotterdam Apartments,3034CH,2,85
832,1586.0,Rotterdam Apartments,3034CH,2,73
833,1711.0,Rotterdam Apartments,3034CH,2,96
834,1591.0,Rotterdam Apartments,3034CH,3,89
835,1850.0,Portsville,3043LA,5,85
836,1395.0,Riva Rentals,3031PV,2,81
837,1800.0,Kamen Home Rentals BV,3011HV,3,80
838,1195.0,Rotsvast Rotterdam,3063AR,2,82
839,1250.0,Riva Rentals,3011EP,2,81
840,775.0,Rotterdam Apartments,3039DJ,1,15
841,1350.0,Rotterdam Apartments,3014GD,2,85
842,2495.0,Rotterdam Apartments,3023CE,5,185
843,1295.0,Kolpa Makelaars B.V.,3067GK,3,92
844,1070.0,VERRA Real Estate Rotterdam,3062DG,2,68
845,1850.0,Riva Rentals,3011GC,4,76
846,1495.0,Riva Rentals,3011GM,3,85
847,575.0,Rotterdam Apartments,3021XX,1,14
848,1105.0,Riva Rentals,3083BW,2,57
849,1650.0,Riva Rentals,3021HH,3,85
850,1250.0,Riva Rentals,3012BL,2,74
851,1495.0,Rotterdam Apartments,3021ED,2,100
852,425.0,Rotterdam Apartments,3067KH,1,10
853,1595.0,Reedijk Real Estate,3028ER,4,102
854,850.0,Dop & Dop Consultancy,3026AG,2,35
855,1250.0,ViaDaan,3032EM,3,65
856,1395.0,VERRA Real Estate Rotterdam,3016BE,2,51
857,1050.0,Rotterdam Apartments,3011HH,2,60
858,1695.0,Ideaal Housing & Makelaars,3077GK,5,120
859,1595.0,Ideaal Housing & Makelaars,3076DA,5,115
860,1500.0,In de Stad,3011XM,2,50
861,1395.0,Riva Rentals,3072LM,2,40
862,1595.0,Rotterdam Apartments,3076DB,5,115
863,1695.0,Rotterdam Apartments,3077GB,5,120
864,1595.0,Riva Rentals,3061JT,3,100
865,1350.0,Hospitality Apartments,3021GK,2,60
866,2190.0,NTH Apartments,3039AG,3,89
867,1450.0,Loftly,3012GX,2,45
868,2250.0,Riva Rentals,3062LD,4,148
869,1400.0,Hospitality Apartments,3024EN,2,50
870,1595.0,Rotterdam Apartments,3071AA,3,100
871,1595.0,Rotterdam Apartments,3011EP,3,84
872,475.0,BenHousing,3033EL,1,10
873,595.0,BenHousing,3033EL,1,22
874,1195.0,Dop & Dop Consultancy,3021JB,2,60
875,1495.0,Kolpa Makelaars B.V.,3013CE,3,94
876,2000.0,CITYBIRD,3011HE,3,92
877,1300.0,De Bloois Vastgoed,3038BS,2,84
878,1245.0,Perfectrent,3034ST,2,72
879,1900.0,Loftly,3011GX,2,110
880,1550.0,Loftly,3024CS,3,105
881,1350.0,Riva Rentals,3013AL,3,90
882,1550.0,VHPN,3033HD,4,94
883,1400.0,Maasstad Woningverhuur,3071JW,3,72
884,1550.0,TVN Real Estate,3011XW,3,75
885,1750.0,Interhouse verhuurmakelaars Rotterdam,3063DA,3,120
886,1495.0,Kolpa Makelaars B.V.,3062HB,3,80
887,1250.0,Rotterdam Rent,3032AS,3,76
888,2200.0,Different Vastgoed,3011XL,3,66
889,1500.0,Rotterdam Apartments,3011TG,3,65
890,1450.0,Rotterdam Apartments,3011TG,3,50
891,1350.0,Riva Rentals,3031EG,3,80
892,1350.0,QUARTERS Properties,3083DK,2,90
893,1500.0,Rowork Real Estate,3071AS,3,88
894,1100.0,De Bloois Vastgoed,3051JR,3,68
895,1600.0,Voorberg Makelaars,3024VD,5,104
896,1285.0,StartHousing,3063BL,3,80
897,1495.0,Interhouse verhuurmakelaars Rotterdam,3063BX,3,92
898,1500.0,Riva Rentals,3011VX,3,87
899,800.0,Rotterdam Rent,3022HL,2,25
900,1150.0,Dop & Dop Consultancy,3021JA,2,60
901,1575.0,Jeco Rental Services,3012GD,3,80
902,425.0,BenHousing,3021ND,1,10
903,3450.0,Juistwonen,3045LJ,4,295
904,1575.0,Rotterdam Apartments,3012LG,1,50
905,1475.0,Kolpa Makelaars B.V.,3032EM,2,78
906,1745.0,VERRA Real Estate Rotterdam,3032VE,3,96
907,980.0,Eenhoorn Management B.V.,3062HN,2,53
908,1250.0,Executive Home Rentals  Amsterdam,3038NA,2,61
909,1550.0,Riva Rentals,3012GH,3,81
910,2550.0,Ideaal Housing & Makelaars,3044EH,5,170
911,1495.0,Rotterdam Apartments,3016BB,2,60
912,1450.0,Hospitality Apartments,3011VX,3,85
913,1250.0,VERRA Real Estate Rotterdam,3011TA,2,70
914,1500.0,Rotterdam Rent,3011XW,3,88
915,1215.0,Rotterdam Apartments,3023HB,3,90
916,1795.0,Kolpa Makelaars B.V.,3016DA,3,123
917,1295.0,Fransen Vastgoed,3063TN,2,90
918,1020.0,Rotsvast Rotterdam,3063HA,2,64
919,1850.0,Rotterdam Apartments,3012CC,3,62
920,1700.0,Dop & Dop Consultancy,3067GK,4,103
921,1250.0,Riva Rentals,3036AB,3,63
922,1050.0,Rotterdam Apartments,3025AG,2,62
923,1190.0,HouseHunting Rotterdam,3033AG,3,77
924,990.0,HouseHunting Rotterdam,3033AG,2,58
925,1695.0,Rotterdam Apartments,3061DJ,3,82
926,500.0,Maasstad Woningverhuur,3082PV,1,12
927,325.0,Perfectrent,3014AH,1,12
928,1750.0,Interhouse verhuurmakelaars Rotterdam,3011DL,3,80
929,2750.0,Linda Housing,3053LK,5,160
930,1350.0,Kolpa Makelaars B.V.,3071MK,3,80
931,1375.0,VERRA Real Estate Rotterdam,3011BD,3,75
932,1350.0,Villex Vastgoedbescherming Barendrecht,3071ZG,3,100
933,1595.0,Rotterdam Apartments,3062PL,3,90
934,1995.0,Kolpa Makelaars B.V.,3071AA,4,115
935,1050.0,Riva Rentals,3083TH,3,57
936,1750.0,Kolpa Makelaars B.V.,3062LJ,3,82
937,1950.0,BenHousing,3051BE,5,160
938,1200.0,Rotterdam Apartments,3012BT,1,50
939,1650.0,Rotterdam Apartments,3071XS,3,100
940,1095.0,van der Valk Vastgoed,3039RR,2,49
941,1750.0,van der Valk Vastgoed,3054BC,3,150
942,650.0,van der Valk Vastgoed,3055RC,1,45
943,900.0,Rotterdam Rent,3038VL,2,16
944,2100.0,Rotterdam Apartments,3011XM,3,92
945,800.0,Dop & Dop Consultancy,3022AD,2,30
946,875.0,Dop & Dop Consultancy,3026AG,2,40
947,1995.0,Riva Rentals,3011XW,3,98
948,1750.0,Riva Rentals,3011GX,2,85
949,2200.0,Kolpa Makelaars B.V.,3016CE,2,100
950,1450.0,HB&F Rental Services,3011VX,3,85
951,850.0,123Wonen Rotterdam,3083RG,2,64
952,995.0,Riva Rentals,3081CK,2,50
953,1395.0,123Wonen Rotterdam,3011HA,3,85
954,1395.0,BenHousing,3011KN,3,70
955,1485.0,HS Makelaars,3011VW,3,91
956,1495.0,Riva Rentals,3063CB,3,100
957,850.0,Rotterdam Apartments,3033EK,1,25
958,1795.0,Rotterdam Apartments,3011XA,3,85
959,1500.0,Tweelwonen.nl Rotterdam,3015GC,3,110
960,850.0,Dop & Dop Consultancy,3026AG,2,30
961,1495.0,Rotterdam Apartments,3016BB,2,60
962,3500.0,Interhouse verhuurmakelaars Rotterdam,3063EG,5,200
963,2250.0,Rotterdam Rent,3012CC,3,85
964,2750.0,Rotterdam Apartments,3011TV,3,180
965,1400.0,Expat Housing,3024CZ,2,140
966,1450.0,Rotterdam Apartments,3016BB,2,45
967,1050.0,BenHousing,3037EG,2,50
968,875.0,Dop & Dop Consultancy,3026AH,2,50
969,875.0,Dop & Dop Consultancy,3026AH,2,50
970,875.0,Dop & Dop Consultancy,3026AH,2,50
971,1195.0,Dop & Dop Consultancy,3021JA,2,60
972,4900.0,BenHousing,3045LJ,5,294
973,1995.0,Portsville,3011BT,3,105
974,2950.0,NTH Apartments,3012CC,3,85
975,2150.0,Dop & Dop Consultancy,3065NK,5,170
976,1295.0,Rotterdam Apartments,3073GP,4,94
977,226.0,4-Freedom | Vastgoedbeheer,3021BV,1,6
978,1750.0,Riva Rentals,3011HE,3,105
979,1500.0,Rotterdam Apartments,3013CB,3,90
980,1600.0,Rotterdam Rent,3035EE,4,100
981,1750.0,Rotterdam Apartments,3011VH,3,88
982,1850.0,Riva Rentals,3011BT,3,118
983,2125.0,Riva Rentals,3033CE,4,160
984,2150.0,VHPN,3012GA,4,110
985,800.0,Rotterdam Rent,3038VL,2,35
986,1295.0,BenHousing,3031AX,3,66
987,675.0,BenHousing,3038TE,1,24
988,3600.0,Rotterdam Rent,3035EE,4,100
989,1295.0,Dop & Dop Consultancy,3055JG,3,80
990,1450.0,Dop & Dop Consultancy,3032EM,3,91
991,1549.0,Eenhoorn Management B.V.,3062HN,2,111
992,1300.0,VERRA Real Estate Rotterdam,3061TH,4,92
993,1295.0,Portsville,3011TG,1,50
994,2350.0,Rotterdam Apartments,3012BN,1,40
995,2300.0,Rotterdam Apartments,3011HE,3,116
996,1295.0,The Rental Shop,3028AJ,2,70
997,600.0,ViaDaan,3081JL,1,20
998,2300.0,Rotterdam Apartments,3012BN,1,40
999,1295.0,The Rental Shop,3063AT,2,62
1000,1475.0,Rotterdam Apartments,3016BB,2,49
1001,2050.0,Rotterdam Apartments,3011HV,3,93
1002,1150.0,Rotterdam Apartments,3012LG,1,50
1003,1600.0,Jeco Rental Services,3012CC,2,70
1004,1400.0,Rotterdam Apartments,3063AK,3,90
1005,2300.0,Linda Housing,3011XL,3,75
1006,1750.0,Riva Rentals,3039LL,3,100
1007,2400.0,Rotterdam Apartments,3012BN,1,45
1008,1100.0,BenHousing,3037EG,3,61
1009,950.0,BenHousing,3037EG,2,38
1010,950.0,BenHousing,3037EG,2,40
1011,750.0,Dop & Dop Consultancy,3022AD,2,27
1012,900.0,Dop & Dop Consultancy,3022AD,2,40
1013,1950.0,NTH Apartments,3062KD,3,80
1014,1590.0,NTH Apartments,3061VJ,2,52
1015,1000.0,BenHousing,3037EG,3,50
1016,4995.0,Voorberg Makelaars,3011HB,4,164
1017,2000.0,Dop & Dop Consultancy,3038AL,4,145
1018,2000.0,Dop & Dop Consultancy,3038AL,4,145
1019,2995.0,Rental Rotterdam,3014DA,2,51
1020,1245.0,Ideaal Housing & Makelaars,3023HB,3,90
1021,1800.0,Rent an Apartment,3011XM,2,65
1022,1850.0,Rent an Apartment,3011XM,2,65
1023,1440.0,VHPN,3012EG,3,135
1024,1539.0,Portsville,3051JR,4,77
1025,1250.0,Rotterdam Apartments,3016BB,1,35
1026,1125.0,Rotterdam Apartments,3016BB,1,35
1027,1050.0,VHPN,3012EG,2,90
1028,800.0,Dop & Dop Consultancy,3022AC,2,30
1029,850.0,Dop & Dop Consultancy,3022AC,2,50
1030,2400.0,Aaiman Rentals,3072ES,5,140
1031,2495.0,VHPN,3061HJ,3,116
1032,2450.0,Rent an Apartment,3011XM,2,64
