,house_price_amsterdam,rental_agency_amsterdam,postcode_amsterdam,bedrooms_amsterdam,surface_amsterdam
113,1675.0,Expathousing.com (Amsterdam) ,1058SJ,3,58
114,2800.0,Expathousing.com (Amsterdam) ,1054KT,2,120
115,1185.0,Grand Relocation,1067LA,4,69
116,1500.0,Grand Relocation,1072NX,2,58
117,3200.0,Grand Relocation,1075RG,4,140
118,2900.0,Grand Relocation,1074BS,4,120
119,2000.0,Grand Relocation,1055ML,4,123
120,1750.0,Amstel Housing Amsterdam,1081GG,3,80
121,1475.0,Find your room,1082GA,3,64
122,1995.0,People On The Move Expat Rentals,1017LH,2,80
123,799.0,M4Makelaar B.V,1082SC,1,15
124,1800.0,iRent020,1053LJ,3,85
125,1750.0,Boon Properties,1012SV,2,90
126,1750.0,Koops Makelaardij Amstelveen,1081EJ,4,90
127,1700.0,Amstel Housing Amsterdam,1083AT,3,65
128,2750.0,Out Amsterdam,1078JP,4,129
129,1350.0,Hevesta Bemiddeling,1055MR,1,37
130,1650.0,Amstel Housing Amsterdam,1012VH,2,80
131,2150.0,Compass Housing Amsterdam,1072XP,3,73
132,2950.0,Compass Housing Amsterdam,1011VM,4,129
133,1425.0,Rotsvast Amsterdam,1062GS,2,44
134,1500.0,First Class Housing,1068ZZ,3,91
135,1675.0,SPR Property,1015VN,2,60
136,1950.0,Expats. Amsterdam Rentals ,1068JD,4,110
137,4700.0,Inter Immo Amsterdam,1017EG,5,225
138,2500.0,Relocation Advisers B.V.,1017DZ,3,85
139,2500.0,Relocation Advisers B.V.,1082MK,3,94
140,1350.0,Expats. Amsterdam Rentals ,1011PG,1,50
141,1700.0,Expats. Amsterdam Rentals ,1032LH,3,75
142,3000.0,Relocation Advisers B.V.,1017EA,5,128
143,1250.0,Expats. Amsterdam Rentals ,1034BM,1,40
144,5000.0,Relocation Advisers B.V.,1077BS,5,208
145,1650.0,Expats. Amsterdam Rentals ,1011EL,2,60
146,1350.0,Expats. Amsterdam Rentals ,1021JS,1,30
147,3750.0,Relocation Advisers B.V.,1015CW,3,134
148,2150.0,Dots Housing,1082SG,4,65
149,1727.0,020Apartment,1072VC,2,57
150,1750.0,Thuis in Vastgoed,1015LK,2,69
151,1850.0,Out Amsterdam,1052NP,3,85
152,2350.0,First Class Housing,1082JT,3,90
153,2200.0,Renthouse Vastgoed,1083AN,5,120
154,2000.0,Flexcility,1078EJ,3,63
155,1750.0,Inter Immo Amsterdam,1094KZ,3,74
156,1900.0,PropertyManager Amsterdam,1017TR,3,87
157,1540.0,Inter Immo Amsterdam,1018GL,2,80
158,1650.0,Brummel & Beuk Makelaars ,1079RH,2,60
159,1585.0,Dutch Brickx Real Estate Purmerend - Zaandam e.o.,1069EG,4,72
160,1250.0,Hevesta Bemiddeling,1055MR,1,35
161,1350.0,Hevesta Bemiddeling,1055MR,1,37
162,1750.0,Brummel & Beuk Makelaars ,1054VX,3,75
163,1750.0,AHA (Another Home Abroad),1059TE,3,75
164,1450.0,+31 Vastgoed,1015BB,2,58
165,1700.0,SPiL makelaars,1067XW,4,104
166,1290.0,HB Property Services,1073BG,2,28
167,1500.0,SPiL makelaars,1034DM,3,64
168,1800.0,Urban Homies,1056GS,2,85
169,1650.0,Find your room,1066MT,3,80
170,2000.0,Find your room,1078EW,3,90
171,1250.0,Find your room,1058HL,2,55
172,1700.0,Amstel Makelaardij o.g.,1065EG,3,95
173,1395.0,Rosmuller Makelaars,1057ZP,2,55
174,1750.0,HousingNet,1061BK,3,108
175,1375.0,HousingNet,1011CD,2,60
176,1375.0,HousingNet,1053DE,2,30
177,1375.0,HousingNet,1104EA,2,75
178,1600.0,JLG Real Estate,1018WM,3,75
179,1800.0,JLG Real Estate,1076LC,4,110
180,1350.0,Nuverhuren.nl,1104EA,3,67
181,1950.0,CS Housing,1082GB,3,80
182,1850.0,AA real estate solutions,1057ZX,3,63
183,1800.0,CS Housing,1016RR,2,70
184,1800.0,CS Housing,1016RR,2,75
185,1700.0,Alcoco.nl,1015TA,2,50
186,1750.0,Alcoco.nl,1082LL,3,85
187,1750.0,Rappange Makelaardij,1091CZ,3,81
188,1700.0,Cosmo Housing,1068PH,3,83
189,8750.0,Von Poll Real Estate - Zuidas,1054GT,7,312
190,1500.0,Von Poll Real Estate - Centrum,1015AC,2,47
191,1250.0,Von Poll Real Estate - Centrum,1015AC,2,32
192,2750.0,Out Amsterdam,1078JP,4,129
193,1250.0,Hevesta Bemiddeling,1055MR,1,35
194,2700.0,Vastgoed Unie Makelaardij ,1056HE,5,77
195,3250.0,IB Makelaars,1071JZ,3,122
196,2000.0,The Rental Shop,1035EB,4,95
197,1350.0,Van Huis Uit Makelaars,1017VM,3,35
198,2400.0,City Homes,1060RW,5,150
199,2200.0,Huisportaal.nl,1015AL,3,83
200,1600.0,Huisportaal.nl,1058HH,3,55
201,1650.0,Aham Vastgoed,1078VJ,3,92
202,1350.0,Aham Vastgoed,1056CD,2,50
203,1495.0,Adelbrecht Vastgoed Beheer BV,1058AL,2,53
204,1795.0,Adelbrecht Vastgoed Beheer BV,1072JV,3,68
205,2100.0,Makelaarshuis Amsterdam - Zaanstad,1018BK,3,78
206,1850.0,Haverkamp Makelaardij,1015AD,2,102
207,1250.0,AHA (Another Home Abroad),1015BS,2,25
208,1425.0,Valerius Rentals,1053HH,2,30
209,1650.0,De Graaf & Groot Makelaars,1052CH,3,60
210,1600.0,De Graaf & Groot Makelaars,1052CH,2,65
211,5000.0,Amsterdam Housing,1016RE,3,180
212,2100.0,Amsterdam Housing,1019VK,4,115
213,2500.0,Amsterdam Housing,1071WS,3,85
214,1750.0,Amsterdam Housing,1072SG,2,60
215,2500.0,Amsterdam Housing,1018CX,3,150
216,1450.0,Partner in real estate,1017GA,2,56
217,1600.0,Partner in real estate,1096HR,3,79
218,1700.0,Expat Rentals,1015TA,2,45
219,1550.0,JLG Real Estate,1019GD,2,94
220,1650.0,JLG Real Estate,1052JC,3,58
221,2000.0,JLG Real Estate,1066JG,4,140
222,1500.0,Parker & Williams Real Estate Services,1016GK,2,45
223,6950.0,Parker & Williams Real Estate Services,1015CL,6,280
224,1250.0,Hevesta Bemiddeling,1055MR,1,35
225,1350.0,Hevesta Bemiddeling,1055MR,1,37
226,1650.0,HB Housing ,1017KL,2,50
227,1350.0,HB Housing ,1061EA,3,60
228,1800.0,Interhouse verhuurmakelaars Amsterdam,1012DV,3,102
229,2150.0,Interhouse verhuurmakelaars Amsterdam,1054EN,2,75
230,1800.0,Interhouse verhuurmakelaars Amsterdam,1098XB,3,98
231,1450.0,Interhouse verhuurmakelaars Amsterdam,1093BW,2,57
232,1475.0,Interhouse verhuurmakelaars Amsterdam,1093BW,2,56
233,2150.0,Interhouse verhuurmakelaars Amsterdam,1013AD,3,85
234,4000.0,Haagen & Partners,1075HL,5,275
235,4950.0,Broersma Makelaardij,1017LV,3,141
236,1950.0,AA real estate solutions,1061TJ,4,90
237,1800.0,First Class Housing,1081EP,3,90
238,1750.0,Inter Immo Amsterdam,1061TJ,4,90
239,3950.0,Eurostone real estate,1016DV,3,166
240,1600.0,Koops Makelaardij Amsterdam,1058NM,3,60
241,1750.0,ViaDaan,1073TE,2,70
242,1495.0,ViaDaan,1034TB,3,76
243,1975.0,TVN Real Estate,1078MR,3,90
244,2200.0,AT Real Estate Agent,1017AH,2,60
245,4500.0,Klok Real Estate,1054ZE,6,180
246,7000.0,Amsterdam Wonen,1018SR,4,260
247,1800.0,Amsterdam Wonen,1016VG,3,50
248,2100.0,Renthouse Vastgoed,1077JC,2,128
249,1800.0,De Plantage Makelaars,1102EE,4,111
250,1750.0,De Nieuwe Verhuurmakelaar,1012AE,2,75
251,1400.0,Paykar Makelaardij,1058HV,2,47
252,2000.0,The Rental Agency Amsterdam,1016ET,3,75
253,2250.0,The Rental Agency Amsterdam,1071AE,2,110
254,2350.0,The Rental Agency Amsterdam,1059EB,2,110
255,2000.0,The Rental Shop,1035AZ,4,95
256,1250.0,Hevesta Bemiddeling,1055MR,1,35
257,1350.0,Hevesta Bemiddeling,1055MR,1,37
258,1572.0,Allround Housing,1068CE,3,100
259,1572.0,Allround Housing,1064AE,4,85
260,1545.0,Van Huis Uit Makelaars,1011PG,2,71
261,1385.0,Van Huis Uit Makelaars,1062AB,3,54
262,1615.0,Van Huis Uit Makelaars,1054JC,3,56
263,1895.0,City Homes,1078MZ,3,80
264,1790.0,HousingNet,1082GS,4,121
